building,name,area,perim,shape,sample,vertices
yes,martha,252.32079,67.22643,0.70159,76,9
yes,ruben,165.82546,58.02944,0.61882,14,9
yes,venkana,153.27859,53.57881,0.67097,64,9
yes,teesta,218.45862,72.67102,0.51982,44,17
yes,ranjith,184.26679,54.88515,0.76868,26,5
yes,andy,276.41146,76.0423,0.6007,,11
yes,manohar,327.18499,72.35377,0.78538,66,5
yes,ruben,179.42893,60.74329,0.61109,71,7
yes,bhavana,231.38869,64.56704,0.69748,58,9
yes,bhojaraj,201.98963,57.05266,0.77981,40,5
yes,ranjith,259.79031,73.09235,0.61107,5,9
yes,martha,202.51934,67.9606,0.55101,14,13
yes,iqrha,203.00961,66.63827,0.57448,20,13
yes,venkana,225.21246,67.72787,0.61697,44,11
yes,teresa,240.39944,66.9444,0.67408,52,9
yes,bhojaraj,130.01631,45.99407,0.77233,37,5
yes,ranjith,308.23649,77.82247,0.63956,,9
yes,martha,256.20066,71.22274,0.63468,75,11
yes,ruben,363.676,84.25998,0.6437,,13
yes,venkana,202.79265,78.93772,0.40897,30,13
yes,teesta,153.75759,49.91554,0.77549,,5
yes,ashley,254.09308,78.29918,0.52082,29,25
yes,bhojaraj,223.76984,66.70918,0.63189,47,7
yes,richman,224.98705,71.83879,0.54783,31,13
yes,ruben,191.00654,62.72451,0.61007,,9
yes,teresa,200.15817,66.48139,0.56909,14,11
yes,bhojaraj,248.30287,64.98569,0.73885,,7
yes,ranjith,324.99852,74.5273,0.73529,,9
yes,richman,220.72681,65.40801,0.64834,,11
yes,iqrha,269.70552,71.83497,0.65679,56,9
yes,bhavana,184.85849,60.34136,0.638,,9
yes,ranjith,218.70657,71.73651,0.53406,,11
yes,bhojaraj,258.68862,65.46935,0.75842,,5
yes,kelvin,260.68631,68.8738,0.69059,76,9
yes,richman,159.11107,62.56069,0.51087,27,11
yes,ruben,208.01652,65.67808,0.60599,,9
yes,venkana,273.01059,77.28933,0.57431,56,15
yes,teesta,272.08359,65.98298,0.78532,45,5
yes,ranjith,212.54162,66.66668,0.60095,63,11
yes,bhojaraj,126.47456,47.06419,0.71752,36,7
yes,richman,221.67353,78.89697,0.44751,,10
yes,ruben,184.15127,60.5572,0.63103,,8
yes,teresa,215.94249,66.55522,0.61261,65,9
yes,andy,172.62156,61.26289,0.57798,16,13
yes,ranjith,289.42887,73.88293,0.66629,,11
